college_name,institution_type,image_url,website_url,scraping_status,TLR,RP,GO,OI,PR,Total
Velagapudi Ramakrishna siddhartha Engineering college,university,,https://siddhartha.edu.in/,manual_input,113.74,28.25,92.5,137.45,69.5,81.79
IIT Hyderabad,university,,https://www.iith.ac.in/,manual_input,136.98,75.25,109.38,135.68,95.0,108.61
Andhra University,university,,https://www.andhrauniversity.edu.in,manual_input,89.34,51.75,84.38,111.61,54.75,75.84
KL University,university,,https://www.kluniversity.in/,manual_input,84.77,32.88,76.25,120.22,48.45,67.41
VIT Vellore,university,,https://www.vit.ac.in/,manual_input,92.51,87.5,101.25,135.59,73.5,95.16
Prasad V Potluri Institute of Technology,college,,https://www.pvpsiddhartha.ac.in/,success,46.97,38.5,18.75,15.62,0.0,30.95
PVP Siddhartha College,college,,http://www.pvpsit.ac.in/,manual_input,7.5,13.0,18.75,15.62,0.0,11.46
KBN College,college,http://127.0.0.1:5500/KBN-PROJECT-main/demo-college-website/favicon.ico,http://127.0.0.1:5500/KBN-PROJECT-main/demo-college-website/enhanced_index.html,manual_input,54.77,48.12,73.75,151.0,0.0,60.72
